City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,Cabra,37.4725,-4.4421,47.64,82,4,2.55,ES,2021-12-05 23:37:07
108,Poladpur,17.9802,73.466,68.11,93,1,2.73,IN,2021-12-05 23:37:08
109,Vardo,70.3705,31.1107,7.0,78,29,21.92,NO,2021-12-05 23:37:08
110,Guanica,17.9716,-66.908,81.91,80,100,7.0,PR,2021-12-05 23:37:07
111,Nushki,29.5542,66.0215,45.64,43,0,1.32,PK,2021-12-05 23:37:09
112,Alofi,-19.0595,-169.9187,80.49,78,76,16.11,NU,2021-12-05 23:37:09
113,Provideniya,64.3833,-173.3,28.51,93,90,20.13,RU,2021-12-05 23:36:07
114,Katsuura,35.1333,140.3,52.2,73,100,10.02,JP,2021-12-05 23:37:10
115,Laguna,38.421,-121.4238,66.24,82,75,3.44,US,2021-12-05 23:36:06
116,Cherskiy,68.75,161.3,-44.09,99,88,4.36,RU,2021-12-05 23:37:11
117,Portland,45.5234,-122.6762,47.1,77,75,1.01,US,2021-12-05 23:35:53
118,Sechura,-5.5569,-80.8222,69.6,73,99,14.45,PE,2021-12-05 23:32:19
119,Tungor,53.3808,142.9564,12.94,90,65,7.4,RU,2021-12-05 23:37:11
120,Hambantota,6.1241,81.1185,77.22,88,9,6.96,LK,2021-12-05 23:37:11
121,Pangnirtung,66.1451,-65.7125,7.14,97,100,6.6,CA,2021-12-05 23:34:57
122,Okhotsk,59.3833,143.3,-11.09,88,19,13.15,RU,2021-12-05 23:37:12
123,Sao Joao Da Barra,-21.6403,-41.0511,75.6,86,43,14.61,BR,2021-12-05 23:33:47
124,Lompoc,34.6391,-120.4579,77.77,75,1,21.99,US,2021-12-05 23:36:01
125,Sorland,67.667,12.6934,26.85,63,65,10.94,NO,2021-12-05 23:37:13
126,Jutai,-5.1833,-68.9,71.4,99,93,1.99,BR,2021-12-05 23:37:13
127,Las Choapas,17.9333,-94.0833,77.05,90,77,5.08,MX,2021-12-05 23:37:13
128,Camacha,33.0833,-16.3333,62.02,59,75,16.11,PT,2021-12-05 23:37:14
129,Nizwa,22.9333,57.5333,61.97,66,1,1.3,OM,2021-12-05 23:37:14
130,Totness,5.8833,-56.3167,76.71,92,100,12.57,SR,2021-12-05 23:37:15
131,Saint-Pierre,-21.3393,55.4781,76.64,72,0,6.91,RE,2021-12-05 23:37:15
132,Vestmannaeyjar,63.4427,-20.2734,44.17,74,100,18.95,IS,2021-12-05 23:37:16
133,Bethel,41.3712,-73.414,44.11,55,75,4.61,US,2021-12-05 23:32:21
134,Dikson,73.5069,80.5464,-3.39,94,100,9.6,RU,2021-12-05 23:34:46
135,Raudeberg,61.9875,5.1352,36.19,78,100,1.99,NO,2021-12-05 23:37:16
136,Parole,38.9796,-76.5305,50.22,68,1,0.0,US,2021-12-05 23:37:17
137,Srednekolymsk,67.45,153.6833,-48.55,99,75,4.63,RU,2021-12-05 23:38:17
138,Gremyachinsk,58.5603,57.851,-3.39,100,81,2.1,RU,2021-12-05 23:38:18
